ASIN,AMAZON_RATING_1,AMAZON_RATING_2,AMAZON_RATING_3,AMAZON_RATING_4,AMAZON_RATING_5,AMAZON_RATING_AVG
['B00C914TSM'],0,0,20,40,40,4.2
['B00C9V0OBI'],15,8,12,22,43,3.6999999999999997
['B00CAJNY16'],14,7,11,17,51,3.84
['B00CCIL9NU'],24,9,9,16,42,3.43
['B00CHXF79W'],20,0,0,0,80,4.2
['B00CI3BISU'],7,1,4,12,76,4.49
['B00CI3BLPA'],4,2,2,11,81,4.630000000000001
['B00CI3BLPA'],4,2,2,11,81,4.630000000000001
['B00CI3BLPA'],4,2,2,11,81,4.630000000000001
['B00CJD4HD2'],9,5,7,17,62,4.18
['B00CJD4HD2'],9,5,7,17,62,4.18
['B00CJZPRD4'],0,0,0,0,100,5.0
['B00CLBZAHY'],3,0,1,17,79,4.69
['B00CLBZAWY'],3,1,2,11,83,4.7
['B00CO8TA4I'],2,0,4,10,84,4.74
['B00COGLBPQ'],5,0,0,10,85,4.7
['B00CPLGFM4'],0,1,4,17,78,4.720000000000001
['B00CPLGFME'],10,7,7,10,66,4.15
['B00CQ35HBQ'],2,0,2,8,88,4.800000000000001
['B00CXI0BAG'],51,21,6,10,12,2.11
['B00CZ6JG8O'],0,0,25,25,50,4.25
['B00D19HE1U'],0,0,0,0,100,5.0
['B00D3Y7P44'],0,0,33,33,34,4.01
['B00D5XAN06'],5,10,0,5,80,4.45
['B00D5ZZZFC'],0,0,0,0,100,5.0
['B00D5ZZZMU'],0,0,0,9,91,4.91
['B00D695GS8'],7,3,5,16,69,4.37
['B00D78Q2AO'],18,10,7,16,49,3.68
['B00D7S1CCM'],0,0,100,0,0,3.0
['B00DES2FQW'],15,6,7,13,59,3.9499999999999997
['B00DGHD2TA'],7,3,8,12,70,4.3500000000000005
['B00DH9M3C4'],4,7,0,7,82,4.5600000000000005
['B00DHAD3JU'],6,2,13,13,66,4.3100000000000005
['B00DKXXAAQ'],6,7,12,25,50,4.0600000000000005
